"filename", "language", "JSON", "JSON with Comments", "Docker", "TypeScript JSX", "JavaScript", "TypeScript", "XML", "Markdown", "PostCSS", "comment", "blank", "total"
"d:\freelance\zamda\frontend\Dockerfile", "Docker", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 13, 29
"d:\freelance\zamda\frontend\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 14, 37
"d:\freelance\zamda\frontend\eslint.config.mjs", "JavaScript", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 5, 17
"d:\freelance\zamda\frontend\next.config.ts", "TypeScript", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 2, 16
"d:\freelance\zamda\frontend\package-lock.json", "JSON", 5319, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5320
"d:\freelance\zamda\frontend\package.json", "JSON", 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 37
"d:\freelance\zamda\frontend\postcss.config.cjs", "JavaScript", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 1, 7
"d:\freelance\zamda\frontend\public\file.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\freelance\zamda\frontend\public\globe.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\freelance\zamda\frontend\public\next.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\freelance\zamda\frontend\public\window.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\freelance\zamda\frontend\src\app\ClientLayout.tsx", "TypeScript JSX", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 3, 18
"d:\freelance\zamda\frontend\src\app\ProductCard.tsx", "TypeScript JSX", 0, 0, 0, 141, 0, 0, 0, 0, 0, 0, 8, 149
"d:\freelance\zamda\frontend\src\app\Tabs.tsx", "TypeScript JSX", 0, 0, 0, 125, 0, 0, 0, 0, 0, 3, 22, 150
"d:\freelance\zamda\frontend\src\app\[category_name]\[subcategory_name]\[ad_name]\AdPageClient.tsx", "TypeScript JSX", 0, 0, 0, 127, 0, 0, 0, 0, 0, 0, 15, 142
"d:\freelance\zamda\frontend\src\app\[category_name]\[subcategory_name]\[ad_name]\page.tsx", "TypeScript JSX", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 2, 17
"d:\freelance\zamda\frontend\src\app\[category_name]\[subcategory_name]\page.tsx", "TypeScript JSX", 0, 0, 0, 169, 0, 0, 0, 0, 0, 0, 12, 181
"d:\freelance\zamda\frontend\src\app\[category_name]\page.tsx", "TypeScript JSX", 0, 0, 0, 48, 0, 0, 0, 0, 0, 38, 8, 94
"d:\freelance\zamda\frontend\src\app\about\page.tsx", "TypeScript JSX", 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 4, 31
"d:\freelance\zamda\frontend\src\app\cart\page.tsx", "TypeScript JSX", 0, 0, 0, 71, 0, 0, 0, 0, 0, 0, 6, 77
