"filename", "language", "Python", "Docker", "HTML", "pip requirements", "JavaScript", "XML", "PostCSS", "Markdown", "JSON", "JSON with Comments", "TypeScript JSX", "TypeScript", "comment", "blank", "total"
"d:\freelance\zamda\backend\Dockerfile", "Docker", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10
"d:\freelance\zamda\backend\api\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\freelance\zamda\backend\api\admin.py", "Python", 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 69
"d:\freelance\zamda\backend\api\apps.py", "Python", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7
"d:\freelance\zamda\backend\api\migrations\0001_initial.py", "Python", 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 81
"d:\freelance\zamda\backend\api\migrations\0002_userprofile.py", "Python", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 26
"d:\freelance\zamda\backend\api\migrations\0003_remove_advertisement_image_advertisementimage.py", "Python", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 27
"d:\freelance\zamda\backend\api\migrations\0004_chat_message.py", "Python", 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 44
"d:\freelance\zamda\backend\api\migrations\0005_review.py", "Python", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 32
"d:\freelance\zamda\backend\api\migrations\0006_advertisement_location_advertisement_views_count_and_more.py", "Python", 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 59
"d:\freelance\zamda\backend\api\migrations\0007_advertisementview.py", "Python", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 30
"d:\freelance\zamda\backend\api\migrations\0008_alter_userprofile_avatar.py", "Python", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 19
"d:\freelance\zamda\backend\api\migrations\0009_alter_userprofile_avatar.py", "Python", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 19
"d:\freelance\zamda\backend\api\migrations\0010_emailverification.py", "Python", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 27
"d:\freelance\zamda\backend\api\migrations\0011_advertisement_slug.py", "Python", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 19
"d:\freelance\zamda\backend\api\migrations\0012_alter_advertisement_slug.py", "Python", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 20
"d:\freelance\zamda\backend\api\migrations\0013_report.py", "Python", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 29
"d:\freelance\zamda\backend\api\migrations\0014_category_priorty_alter_category_image_and_more.py", "Python", 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 36
"d:\freelance\zamda\backend\api\migrations\0015_rename_priorty_category_priority.py", "Python", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 19
"d:\freelance\zamda\backend\api\migrations\0016_alter_userprofile_avatar.py", "Python", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 20
"d:\freelance\zamda\backend\api\migrations\0017_alter_userprofile_avatar.py", "Python", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 20
"d:\freelance\zamda\backend\api\migrations\0018_subcategory_priority.py", "Python", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 20
"d:\freelance\zamda\backend\api\migrations\0019_advertisement_updated_at.py", "Python", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 19
"d:\freelance\zamda\backend\api\migrations\0020_extrafielddefinition_required_and_more.py", "Python", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 33
"d:\freelance\zamda\backend\api\migrations\0021_remove_notification_profile.py", "Python", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 18
"d:\freelance\zamda\backend\api\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\freelance\zamda\backend\api\models.py", "Python", 227, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 58, 286
"d:\freelance\zamda\backend\api\pagination.py", "Python", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"d:\freelance\zamda\backend\api\permissions.py", "Python", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 2, 12
"d:\freelance\zamda\backend\api\serializers.py", "Python", 322, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 76, 423
"d:\freelance\zamda\backend\api\tests.py", "Python", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 4
"d:\freelance\zamda\backend\api\urls.py", "Python", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 28
"d:\freelance\zamda\backend\api\views.py", "Python", 439, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 102, 545
"d:\freelance\zamda\backend\backend\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\freelance\zamda\backend\backend\asgi.py", "Python", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 5, 17
"d:\freelance\zamda\backend\backend\settings.py", "Python", 156, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 44, 216
"d:\freelance\zamda\backend\backend\storages.py", "Python", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 37
"d:\freelance\zamda\backend\backend\urls.py", "Python", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 2, 28
"d:\freelance\zamda\backend\backend\wsgi.py", "Python", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 5, 17
"d:\freelance\zamda\backend\manage.py", "Python", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 5, 23
"d:\freelance\zamda\backend\requirements.txt", "pip requirements", 0, 0, 0, 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 67
"d:\freelance\zamda\backend\staticfiles\admin\css\autocomplete.css", "PostCSS", 0, 0, 0, 0, 0, 0, 230, 0, 0, 0, 0, 0, 0, 50, 280
"d:\freelance\zamda\backend\staticfiles\admin\css\base.css", "PostCSS", 0, 0, 0, 0, 0, 0, 933, 0, 0, 0, 0, 0, 32, 216, 1181
"d:\freelance\zamda\backend\staticfiles\admin\css\changelists.css", "PostCSS", 0, 0, 0, 0, 0, 0, 273, 0, 0, 0, 0, 0, 8, 63, 344
"d:\freelance\zamda\backend\staticfiles\admin\css\dark_mode.css", "PostCSS", 0, 0, 0, 0, 0, 0, 96, 0, 0, 0, 0, 0, 6, 29, 131
